hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIJBYMKM,Rooms 690 Okhla,"Jamia Nagar, Okhla",Unknown,,,hotel,,1699,INR,6,1.0
OISVNJBP,Rooms 509,"60 Feet Road, Pul Pehlad Pur",Unknown,,,hotel,,1899,INR,7,1.0
OIZBXDYE,Premium 177 Defence Colony,Defence Colony,Unknown,,,hotel,,1399,INR,144,1.6
OIDSSXHI,Rooms 329 8575 Arakashan Road,Arakashan Road,Unknown,,,hotel,,4199,INR,7398,5.0
OIXVQZZR,Rooms 491 Mahipalpur NH8,"National Highway, NH8",Unknown,,,hotel,,2149,INR,7,1.0
OIRUIGOR,Rooms 194 Next To IGI Airport Corporate Special,"Kapashera Extension, Bijwasan Road",Unknown,,,hotel,,3649,INR,127,1.5
OIFTDTZY,Rooms 215 Gangaram Hospital,Old Rajendra Nagar,Unknown,,,hotel,,1249,INR,161,1.6
OIFQOOIB,Rooms 212 Hauz Khas,Panchsheel Park South,Unknown,,,hotel,,1449,INR,69,1.3
OIXNMKOC,Rooms 588 DB Gupta Road,Dariba Pan,Unknown,,,hotel,,2249,INR,107,1.4
OIDPCEDA,Rooms 185 GK 1,Greater Kailash Part 1,Unknown,,,hotel,,3449,INR,77,1.3
OITHMPMI,Rooms 653,Kailash Colony,Unknown,,,hotel,,2899,INR,130,1.5
OISWFXXK,Rooms 133 East of Kailash Extension,Opp Sapna Cinema,Unknown,,,hotel,,1599,INR,24,1.1
OIZTGTZG,Rooms 486 IGI Airport,"Near Prem Motor Showroom, Adjoining Vasantkunj Road",Unknown,,,hotel,,2449,INR,129,1.5
OIEQZPLT,Rooms 602 Chandi Wali Gali Paharganj,Near New Delhi Railway Station,Delhi,,,hotel,,1249,INR,1,1.0
OIFKFKUA,Rooms 528 8A/50 Channa Market,"Channa Market, Karol Bagh",Unknown,,,hotel,,2099,INR,35,1.1
